gene	alteration	cancer_acronym	source
ACVR1B	mutation	LUAD	in_silico_predicted
ACVR1B	mutation	LUSC	in_silico_predicted
ACVR1B	mutation	PAAD	in_silico_predicted
ACVR1B	mutation	STAD	in_silico_predicted
ACVR2A	mutation	CM	in_silico_predicted
ACVR2A	mutation	HC	in_silico_predicted
ACVR2A	mutation	HNSC	in_silico_predicted
ACVR2A	mutation	LUAD	in_silico_predicted
ACVR2A	mutation	PAAD	in_silico_predicted
ACVR2A	mutation	STAD	in_silico_predicted
ADAM10	mutation	BLCA	in_silico_predicted
ADAM10	mutation	ESCA	in_silico_predicted
ADAM10	mutation	GBM	in_silico_predicted
ADAM10	mutation	HNSC	in_silico_predicted
ADAM10	mutation	LUAD	in_silico_predicted
ADAM10	mutation	LUSC	in_silico_predicted
ADAM10	mutation	STAD	in_silico_predicted
ADCY1	mutation	PRAD	in_silico_predicted
AFF4	mutation	BLCA	in_silico_predicted
AFF4	mutation	BRCA	in_silico_predicted
AFF4	mutation	CM	in_silico_predicted
AFF4	mutation	ESCA	in_silico_predicted
AFF4	mutation	LUAD	in_silico_predicted
AFF4	mutation	LUSC	in_silico_predicted
AFF4	mutation	OV	in_silico_predicted
AFF4	mutation	STAD	in_silico_predicted
AHCTF1	mutation	CM	in_silico_predicted
AHR	mutation	BLCA	in_silico_predicted
AHR	mutation	CM	in_silico_predicted
AHR	mutation	ESCA	in_silico_predicted
AHR	mutation	HNSC	in_silico_predicted
AHR	mutation	NB	in_silico_predicted
AHR	mutation	RCCC	in_silico_predicted
AHR	mutation	SCLC	in_silico_predicted
AHR	mutation	UCEC	in_silico_predicted
AKT1	mutation	BRCA	"cgc,biomarker,validated,in_silico_predicted"
AKT1	mutation	CANCER	biomarker
AKT1	mutation	CM	"validated,in_silico_predicted"
AKT1	mutation	COREAD	"cgc,validated"
AKT1	mutation	EDA	validated
AKT1	mutation	FH	"biomarker,validated"
AKT1	mutation	HNSC	in_silico_predicted
AKT1	mutation	LUAD	"validated,in_silico_predicted"
AKT1	mutation	MEN	"validated,in_silico_predicted"
AKT1	mutation	NSCLC	"cgc,validated"
AKT1	mutation	OS	validated
AKT1	mutation	OV	"cgc,biomarker,validated"
AKT1	mutation	PRAD	validated
AKT1	mutation	RCCC	in_silico_predicted
AKT1	mutation	SCLC	validated
AKT1	mutation	UCEC	in_silico_predicted
AKT2	mutation	COREAD	validated
AKT2	mutation	NSCLC	validated
ALK	mutation	ALCL	cgc
ALK	mutation	B	validated
ALK	mutation	CM	cgc
ALK	mutation	G	"biomarker,validated"
ALK	mutation	IM	cgc
ALK	mutation	LUAD	validated
ALK	mutation	NB	"cgc,validated,in_silico_predicted"
ALK	mutation	NSCLC	"cgc,validated"
ALK	mutation	RHBDS	validated
ALK	mutation	UCEC	in_silico_predicted
ANK3	mutation	BLCA	in_silico_predicted
ANK3	mutation	BRCA	in_silico_predicted
ANK3	mutation	CM	in_silico_predicted
ANK3	mutation	GBM	in_silico_predicted
ANK3	mutation	NB	in_silico_predicted
ANK3	mutation	SCLC	in_silico_predicted
ANK3	mutation	STAD	in_silico_predicted
ANK3	mutation	UCEC	in_silico_predicted
APAF1	mutation	HNSC	in_silico_predicted
APC	mutation	BLCA	in_silico_predicted
APC	mutation	BRCA	in_silico_predicted
APC	mutation	CANCER	validated
APC	mutation	CANCER-PR	predisposing
APC	mutation	CNS	cgc
APC	mutation	COC-PR	predisposing
APC	mutation	COREAD	"cgc,biomarker,validated,in_silico_predicted"
APC	mutation	DEST	cgc
APC	mutation	G	cgc
APC	mutation	HB	cgc
APC	mutation	HC	in_silico_predicted
APC	mutation	HNSC	in_silico_predicted
APC	mutation	LUAD	validated
APC	mutation	MM	in_silico_predicted
APC	mutation	NSCLC	in_silico_predicted
APC	mutation	PA	cgc
APC	mutation	PRAD	in_silico_predicted
APC	mutation	ST	validated
APC	mutation	STAD	in_silico_predicted
AQR	mutation	BLCA	in_silico_predicted
AQR	mutation	BRCA	in_silico_predicted
AQR	mutation	CM	in_silico_predicted
AQR	mutation	GBM	in_silico_predicted
AQR	mutation	LUSC	in_silico_predicted
AQR	mutation	PRAD	in_silico_predicted
AQR	mutation	STAD	in_silico_predicted
AR	mutation	PRAD	validated
ARAF	mutation	LUAD	"biomarker,validated"
ARAP3	mutation	UCEC	in_silico_predicted
ARFGAP1	mutation	BLCA	in_silico_predicted
ARFGAP1	mutation	CM	in_silico_predicted
ARFGAP1	mutation	HNSC	in_silico_predicted
ARFGAP1	mutation	LUAD	in_silico_predicted
ARFGAP3	mutation	PRAD	in_silico_predicted
ARFGEF1	mutation	STAD	in_silico_predicted
ARFGEF2	mutation	BLCA	in_silico_predicted
ARFGEF2	mutation	BRCA	in_silico_predicted
ARFGEF2	mutation	CM	in_silico_predicted
ARFGEF2	mutation	ESCA	in_silico_predicted
ARFGEF2	mutation	GBM	in_silico_predicted
ARFGEF2	mutation	HNSC	in_silico_predicted
ARFGEF2	mutation	LGG	in_silico_predicted
ARFGEF2	mutation	LUSC	in_silico_predicted
ARFGEF2	mutation	PRAD	in_silico_predicted
ARHGAP26	mutation	AML	cgc
ARHGAP26	mutation	BLCA	in_silico_predicted
ARHGAP26	mutation	CM	in_silico_predicted
ARHGAP26	mutation	ESCA	in_silico_predicted
ARHGAP26	mutation	LGG	in_silico_predicted
ARHGAP26	mutation	LUAD	in_silico_predicted
ARHGAP26	mutation	MDS	cgc
ARHGAP26	mutation	MM	in_silico_predicted
ARHGAP26	mutation	MML	validated
ARHGAP26	mutation	RCCC	in_silico_predicted
ARHGAP26	mutation	STAD	in_silico_predicted
ARHGAP26	mutation	THCA	in_silico_predicted
ARHGAP29	mutation	CM	in_silico_predicted
ARHGAP35	mutation	BLCA	in_silico_predicted
ARHGAP35	mutation	BRCA	in_silico_predicted
ARHGAP35	mutation	CLL	in_silico_predicted
ARHGAP35	mutation	CM	in_silico_predicted
ARHGAP35	mutation	ESCA	in_silico_predicted
ARHGAP35	mutation	GBM	in_silico_predicted
ARHGAP35	mutation	HC	in_silico_predicted
ARHGAP35	mutation	HNSC	in_silico_predicted
ARHGAP35	mutation	MM	in_silico_predicted
ARHGAP35	mutation	STAD	in_silico_predicted
ARHGAP35	mutation	UCEC	in_silico_predicted
ARHGEF2	mutation	CM	in_silico_predicted
ARHGEF6	mutation	CM	in_silico_predicted
ARHGEF6	mutation	GBM	in_silico_predicted
ARHGEF6	mutation	HNSC	in_silico_predicted
ARHGEF6	mutation	LGG	in_silico_predicted
ARHGEF6	mutation	LUSC	in_silico_predicted
ARHGEF6	mutation	STAD	in_silico_predicted
ARHGEF6	mutation	UCEC	in_silico_predicted
ARID1A	mutation	BLCA	in_silico_predicted
ARID1A	mutation	BRCA	"cgc,in_silico_predicted"
ARID1A	mutation	CANCER	biomarker
ARID1A	mutation	CLL	in_silico_predicted
ARID1A	mutation	COREAD	in_silico_predicted
ARID1A	mutation	DLBCL	in_silico_predicted
ARID1A	mutation	ESCA	in_silico_predicted
ARID1A	mutation	GBM	in_silico_predicted
ARID1A	mutation	HC	in_silico_predicted
ARID1A	mutation	LGG	in_silico_predicted
ARID1A	mutation	LUAD	in_silico_predicted
ARID1A	mutation	LUSC	in_silico_predicted
ARID1A	mutation	MB	in_silico_predicted
ARID1A	mutation	MM	in_silico_predicted
ARID1A	mutation	NB	in_silico_predicted
ARID1A	mutation	OV	in_silico_predicted
ARID1A	mutation	OVCC	cgc
ARID1A	mutation	PAAD	in_silico_predicted
ARID1A	mutation	PRAD	in_silico_predicted
ARID1A	mutation	RCCC	"cgc,in_silico_predicted"
ARID1A	mutation	SCLC	in_silico_predicted
ARID1A	mutation	STAD	in_silico_predicted
ARID1A	mutation	UCEC	in_silico_predicted
ARID1B	mutation	BLCA	in_silico_predicted
ARID1B	mutation	BRCA	cgc
ARID1B	mutation	CM	in_silico_predicted
ARID1B	mutation	HC	"cgc,in_silico_predicted"
ARID1B	mutation	HNSC	in_silico_predicted
ARID1B	mutation	LGG	in_silico_predicted
ARID1B	mutation	LUSC	in_silico_predicted
ARID1B	mutation	MB	in_silico_predicted
ARID1B	mutation	PRAD	in_silico_predicted
ARID1B	mutation	RCCC	in_silico_predicted
ARID1B	mutation	SCLC	in_silico_predicted
ARID1B	mutation	STAD	in_silico_predicted
ARID2	mutation	BRCA	in_silico_predicted
ARID2	mutation	CM	in_silico_predicted
ARID2	mutation	ESCA	in_silico_predicted
ARID2	mutation	GBM	in_silico_predicted
ARID2	mutation	HC	"cgc,in_silico_predicted"
ARID2	mutation	HNSC	in_silico_predicted
ARID2	mutation	LGG	in_silico_predicted
ARID2	mutation	MB	in_silico_predicted
ARID2	mutation	MM	in_silico_predicted
ARID2	mutation	PAAD	in_silico_predicted
ARID2	mutation	RCCC	in_silico_predicted
ARID2	mutation	SCLC	in_silico_predicted
ARID2	mutation	THCA	in_silico_predicted
ARID4A	mutation	STAD	in_silico_predicted
ARID4B	mutation	BRCA	in_silico_predicted
ARID5B	mutation	UCEC	in_silico_predicted
ARNTL	mutation	BRCA	in_silico_predicted
ARNTL	mutation	COREAD	in_silico_predicted
ARNTL	mutation	ESCA	in_silico_predicted
ARNTL	mutation	LUSC	in_silico_predicted
ARNTL	mutation	UCEC	in_silico_predicted
ASH1L	mutation	BRCA	in_silico_predicted
ASH1L	mutation	HC	in_silico_predicted
ASH1L	mutation	MM	in_silico_predicted
ASH1L	mutation	OV	in_silico_predicted
ASH1L	mutation	RCCC	in_silico_predicted
ASH1L	mutation	SCLC	in_silico_predicted
ASH1L	mutation	STAD	in_silico_predicted
ASPM	mutation	BRCA	in_silico_predicted
ASPM	mutation	CM	in_silico_predicted
ASPM	mutation	COREAD	in_silico_predicted
ASPM	mutation	ESCA	in_silico_predicted
ASPM	mutation	MM	in_silico_predicted
ASPM	mutation	OV	in_silico_predicted
ASPM	mutation	SCLC	in_silico_predicted
ASXL1	mutation	AML	in_silico_predicted
ASXL1	mutation	CLL	in_silico_predicted
ASXL1	mutation	CML	cgc
ASXL1	mutation	MDS	cgc
ATF1	mutation	BRCA	in_silico_predicted
ATF1	mutation	CM	in_silico_predicted
ATF1	mutation	OV	in_silico_predicted
ATF1	mutation	RCCC	in_silico_predicted
ATF1	mutation	UCEC	in_silico_predicted
ATF2	mutation	PAAD	in_silico_predicted
ATIC	mutation	BRCA	in_silico_predicted
ATIC	mutation	CM	in_silico_predicted
ATIC	mutation	HNSC	in_silico_predicted
ATIC	mutation	LUAD	in_silico_predicted
ATIC	mutation	OV	in_silico_predicted
ATIC	mutation	PRAD	in_silico_predicted
ATIC	mutation	STAD	in_silico_predicted
ATIC	mutation	UCEC	in_silico_predicted
ATM	mutation	BLCA	biomarker
ATM	mutation	BRCA	in_silico_predicted
ATM	mutation	BRCA/OV-PR	predisposing
ATM	mutation	CANCER-PR	predisposing
ATM	mutation	CLL	in_silico_predicted
ATM	mutation	COREAD	"biomarker,in_silico_predicted"
ATM	mutation	ESCA	in_silico_predicted
ATM	mutation	G	"cgc,biomarker"
ATM	mutation	HNSC	in_silico_predicted
ATM	mutation	LK	cgc
ATM	mutation	LY	"cgc,biomarker"
ATM	mutation	MB	cgc
ATM	mutation	MCL	validated
ATM	mutation	NB	in_silico_predicted
ATM	mutation	PAAD	in_silico_predicted
ATM	mutation	PRAD	"biomarker,in_silico_predicted"
ATM	mutation	RCCC	in_silico_predicted
ATM	mutation	ST	biomarker
ATM	mutation	TCPL	"cgc,validated"
ATM	mutation	UCEC	in_silico_predicted
ATP1A1	mutation	AA	cgc
ATP6AP2	mutation	CM	in_silico_predicted
ATP6AP2	mutation	HNSC	in_silico_predicted
ATP6AP2	mutation	LUAD	in_silico_predicted
ATP6AP2	mutation	STAD	in_silico_predicted
ATR	mutation	BLCA	in_silico_predicted
ATR	mutation	BRCA	in_silico_predicted
ATR	mutation	CANCER	biomarker
ATR	mutation	ED	cgc
ATR	mutation	ESCA	in_silico_predicted
ATR	mutation	G	biomarker
ATR	mutation	HNSC	in_silico_predicted
ATR	mutation	OPH	cgc
ATR	mutation	OV	"biomarker,in_silico_predicted"
ATR	mutation	SCLC	in_silico_predicted
ATR	mutation	ST	cgc
ATR	mutation	STAD	in_silico_predicted
ATR	mutation	UCEC	in_silico_predicted
ATRX	mutation	CLL	in_silico_predicted
ATRX	mutation	CM	in_silico_predicted
ATRX	mutation	COREAD	in_silico_predicted
ATRX	mutation	ESCA	in_silico_predicted
ATRX	mutation	GBM	"cgc,in_silico_predicted"
ATRX	mutation	HC	in_silico_predicted
ATRX	mutation	HNSC	in_silico_predicted
ATRX	mutation	LGG	in_silico_predicted
ATRX	mutation	NB	in_silico_predicted
ATRX	mutation	OV	in_silico_predicted
ATRX	mutation	PANC	cgc
ATRX	mutation	PRAD	in_silico_predicted
ATRX	mutation	SCLC	in_silico_predicted
ATRX	mutation	STAD	in_silico_predicted
AXIN1	mutation	COREAD	cgc
AXIN1	mutation	ED	cgc
AXIN1	mutation	HB	cgc
AXIN1	mutation	HC	cgc
AXIN1	mutation	MB	cgc
AXIN1	mutation	PRAD	cgc
AXIN1	mutation	UCEC	in_silico_predicted
AXIN2	mutation	COREAD	"cgc,validated,in_silico_predicted"
AXIN2	mutation	HC	cgc
AXIN2	mutation	ST	cgc
B2M	mutation	CM	in_silico_predicted
B2M	mutation	HNSC	in_silico_predicted
B2M	mutation	LUSC	in_silico_predicted
B2M	mutation	MM	in_silico_predicted
BAP1	mutation	BLCA	in_silico_predicted
BAP1	mutation	BRCA	"cgc,in_silico_predicted"
BAP1	mutation	CANCER	biomarker
BAP1	mutation	CM	"biomarker,in_silico_predicted"
BAP1	mutation	ESCA	in_silico_predicted
BAP1	mutation	GBM	in_silico_predicted
BAP1	mutation	HNSC	in_silico_predicted
BAP1	mutation	LUAD	in_silico_predicted
BAP1	mutation	MESO	"cgc,biomarker"
BAP1	mutation	NSCLC	cgc
BAP1	mutation	OV	in_silico_predicted
BAP1	mutation	R	biomarker
BAP1	mutation	RCCC	"cgc,in_silico_predicted"
BAP1	mutation	STAD	in_silico_predicted
BAP1	mutation	UVM	cgc
BARD1	mutation	BRCA/OV-PR	predisposing
BARD1	mutation	CANCER-PR	predisposing
BAX	mutation	COREAD	validated
BAX	mutation	TCALL	validated
BAZ2B	mutation	CM	in_silico_predicted
BAZ2B	mutation	HNSC	in_silico_predicted
BAZ2B	mutation	LUAD	in_silico_predicted
BAZ2B	mutation	OV	in_silico_predicted
BAZ2B	mutation	SCLC	in_silico_predicted
BAZ2B	mutation	UCEC	in_silico_predicted
BCL10	mutation	FL	validated
BCL10	mutation	MALT	validated
BCL10	mutation	MGCT	validated
BCL10	mutation	TCALL	validated
BCL10	mutation	TER	validated
BCL11A	mutation	HNSC	in_silico_predicted
BCL6	mutation	CLL	cgc
BCL6	mutation	NHLY	cgc
BCLAF1	mutation	BLCA	in_silico_predicted
BCLAF1	mutation	CM	in_silico_predicted
BCLAF1	mutation	ESCA	in_silico_predicted
BCLAF1	mutation	MB	in_silico_predicted
BCLAF1	mutation	MM	in_silico_predicted
BCLAF1	mutation	PRAD	in_silico_predicted
BCLAF1	mutation	RCCC	in_silico_predicted
BCLAF1	mutation	SCLC	in_silico_predicted
BCLAF1	mutation	UCEC	in_silico_predicted
BCOR	mutation	AML	"cgc,in_silico_predicted"
BCOR	mutation	BLCA	in_silico_predicted
BCOR	mutation	BRCA	in_silico_predicted
BCOR	mutation	CLL	in_silico_predicted
BCOR	mutation	COREAD	in_silico_predicted
BCOR	mutation	MB	in_silico_predicted
BCOR	mutation	PRAD	in_silico_predicted
BCOR	mutation	RB	cgc
BCOR	mutation	RCCC	in_silico_predicted
BCOR	mutation	STAD	in_silico_predicted
BIRC3	mutation	CLL	cgc
BIRC3	mutation	MALT	cgc
BIRC3	mutation	MCL	cgc
BIRC3	mutation	MM	cgc
BLM	mutation	BLCA	in_silico_predicted
BLM	mutation	CANCER	cgc
BLM	mutation	CANCER-PR	predisposing
BLM	mutation	CLL	in_silico_predicted
BLM	mutation	CM	in_silico_predicted
BLM	mutation	ESCA	in_silico_predicted
BLM	mutation	HC	in_silico_predicted
BLM	mutation	LK	cgc
BLM	mutation	LUAD	in_silico_predicted
BLM	mutation	LUSC	in_silico_predicted
BLM	mutation	LY	cgc
BLM	mutation	MM	in_silico_predicted
BLM	mutation	SCC	cgc
BMPR1A	mutation	CANCER-PR	predisposing
BMPR1A	mutation	DT-PR	predisposing
BMPR2	mutation	BLCA	in_silico_predicted
BMPR2	mutation	BRCA	in_silico_predicted
BMPR2	mutation	CM	in_silico_predicted
BMPR2	mutation	COREAD	in_silico_predicted
BMPR2	mutation	HNSC	in_silico_predicted
BMPR2	mutation	LUAD	in_silico_predicted
BMPR2	mutation	OV	in_silico_predicted
BMPR2	mutation	RCCC	in_silico_predicted
BMPR2	mutation	SCLC	in_silico_predicted
BMPR2	mutation	UCEC	in_silico_predicted
BPTF	mutation	BRCA	in_silico_predicted
BPTF	mutation	CM	in_silico_predicted
BPTF	mutation	COREAD	in_silico_predicted
BPTF	mutation	ESCA	in_silico_predicted
BPTF	mutation	GBM	in_silico_predicted
BPTF	mutation	HC	in_silico_predicted
BPTF	mutation	HNSC	in_silico_predicted
BPTF	mutation	MM	in_silico_predicted
BPTF	mutation	PRAD	in_silico_predicted
BPTF	mutation	STAD	in_silico_predicted
BPTF	mutation	THCA	in_silico_predicted
BRAF	mutation	B	validated
BRAF	mutation	BLCA	in_silico_predicted
BRAF	mutation	BRCA	"validated,in_silico_predicted"
BRAF	mutation	CANCER	validated
BRAF	mutation	CH	cgc
BRAF	mutation	CLL	"validated,in_silico_predicted"
BRAF	mutation	CM	"cgc,biomarker,validated,in_silico_predicted"
BRAF	mutation	CML	validated
BRAF	mutation	COC	validated
BRAF	mutation	COREAD	"cgc,biomarker,validated,in_silico_predicted"
BRAF	mutation	G	"biomarker,validated"
BRAF	mutation	GBM	in_silico_predicted
BRAF	mutation	GIST	"biomarker,validated"
BRAF	mutation	HCL	"biomarker,validated"
BRAF	mutation	HISEC	biomarker
BRAF	mutation	HISLC	biomarker
BRAF	mutation	HNSC	in_silico_predicted
BRAF	mutation	L	validated
BRAF	mutation	LUAD	"biomarker,validated,in_silico_predicted"
BRAF	mutation	MA	"biomarker,validated"
BRAF	mutation	MM	"validated,in_silico_predicted"
BRAF	mutation	MYMA	"biomarker,validated"
BRAF	mutation	NHLY	validated
BRAF	mutation	NSCLC	"cgc,biomarker,validated"
BRAF	mutation	NSMGCT	validated
BRAF	mutation	OV	"cgc,biomarker,validated,in_silico_predicted"
BRAF	mutation	PAAC	cgc
BRAF	mutation	PAAD	in_silico_predicted
BRAF	mutation	PG	"biomarker,validated"
BRAF	mutation	PIA	cgc
BRAF	mutation	PRAD	"cgc,in_silico_predicted"
BRAF	mutation	ST	cgc
BRAF	mutation	STAD	in_silico_predicted
BRAF	mutation	TH	cgc
BRAF	mutation	THCA	"biomarker,validated,in_silico_predicted"
BRAF	mutation	UCEC	in_silico_predicted
BRCA1	mutation	BLCA	in_silico_predicted
BRCA1	mutation	BRCA	"cgc,biomarker,in_silico_predicted"
BRCA1	mutation	BRCA/OV-PR	"validated,predisposing"
BRCA1	mutation	CANCER	biomarker
BRCA1	mutation	CANCER-PR	"validated,predisposing"
BRCA1	mutation	CM	in_silico_predicted
BRCA1	mutation	GBM	in_silico_predicted
BRCA1	mutation	HNSC	in_silico_predicted
BRCA1	mutation	MM	in_silico_predicted
BRCA1	mutation	OV	"cgc,biomarker,in_silico_predicted"
BRCA1	mutation	PA	biomarker
BRCA1	mutation	PRAD	biomarker
BRCA1	mutation	STAD	in_silico_predicted
BRCA1	mutation	UCEC	in_silico_predicted
BRCA2	mutation	BRCA	"cgc,biomarker,in_silico_predicted"
BRCA2	mutation	BRCA/OV-PR	"validated,predisposing"
BRCA2	mutation	CANCER-PR	"validated,predisposing"
BRCA2	mutation	L	cgc
BRCA2	mutation	OV	"cgc,biomarker,in_silico_predicted"
BRCA2	mutation	PA	"cgc,biomarker"
BRCA2	mutation	PRAD	biomarker
BRD2	mutation	MM	in_silico_predicted
BRIP1	mutation	AML	cgc
BRIP1	mutation	BRCA	cgc
BRIP1	mutation	BRCA/OV-PR	predisposing
BRIP1	mutation	CANCER-PR	predisposing
BRIP1	mutation	LK	cgc
BRWD1	mutation	CM	in_silico_predicted
BRWD1	mutation	COREAD	in_silico_predicted
BRWD1	mutation	HNSC	in_silico_predicted
BRWD1	mutation	LUAD	in_silico_predicted
BRWD1	mutation	MM	in_silico_predicted
BRWD1	mutation	PRAD	in_silico_predicted
BRWD1	mutation	SCLC	in_silico_predicted
BTK	mutation	BRCA	validated
BTK	mutation	CLL	validated
BUB1B	mutation	RHBDS	cgc
C15orf55	mutation	CM	in_silico_predicted
CAD	mutation	BLCA	in_silico_predicted
CAD	mutation	BRCA	in_silico_predicted
CAD	mutation	COREAD	in_silico_predicted
CAD	mutation	GBM	in_silico_predicted
CAD	mutation	HNSC	in_silico_predicted
CAD	mutation	LGG	in_silico_predicted
CAD	mutation	RCCC	in_silico_predicted
CAD	mutation	STAD	in_silico_predicted
CALR	mutation	HEMATO	cgc
CALR	mutation	MDS	cgc
CAPN7	mutation	ESCA	in_silico_predicted
CAPN7	mutation	LUAD	in_silico_predicted
CAPN7	mutation	STAD	in_silico_predicted
CAPN7	mutation	UCEC	in_silico_predicted
CARD11	mutation	DLBCL	cgc
CARM1	mutation	BLCA	in_silico_predicted
CARM1	mutation	BRCA	in_silico_predicted
CARM1	mutation	CLL	in_silico_predicted
CARM1	mutation	GBM	in_silico_predicted
CARM1	mutation	HNSC	in_silico_predicted
CARM1	mutation	LUAD	in_silico_predicted
CARM1	mutation	UCEC	in_silico_predicted
CASP1	mutation	CLL	in_silico_predicted
CASP1	mutation	CM	in_silico_predicted
CASP1	mutation	GBM	in_silico_predicted
CASP1	mutation	HNSC	in_silico_predicted
CASP1	mutation	OV	in_silico_predicted
CASP1	mutation	PRAD	in_silico_predicted
CASP10	mutation	NHLY	validated
CASP10	mutation	ST	validated
CASP8	mutation	BLCA	in_silico_predicted
CASP8	mutation	BRCA	"cgc,in_silico_predicted"
CASP8	mutation	CM	in_silico_predicted
CASP8	mutation	COREAD	in_silico_predicted
CASP8	mutation	HC	cgc
CASP8	mutation	HNSC	in_silico_predicted
CASP8	mutation	LUAD	in_silico_predicted
CASP8	mutation	LUSC	in_silico_predicted
CASP8	mutation	MM	in_silico_predicted
CASP8	mutation	OCSC	cgc
CASP8	mutation	PRAD	in_silico_predicted
CASP8	mutation	STAD	in_silico_predicted
CAT	mutation	BLCA	in_silico_predicted
CAT	mutation	CM	in_silico_predicted
CAT	mutation	HNSC	in_silico_predicted
CAT	mutation	LUAD	in_silico_predicted
CAT	mutation	PRAD	in_silico_predicted
CAT	mutation	RCCC	in_silico_predicted
CAT	mutation	STAD	in_silico_predicted
CAT	mutation	UCEC	in_silico_predicted
CBFB	mutation	AML	in_silico_predicted
CBFB	mutation	BRCA	in_silico_predicted
CBFB	mutation	CM	in_silico_predicted
CBL	mutation	AML	cgc
CBL	mutation	HEMATO	validated
CBL	mutation	MDPS	"biomarker,validated"
CBL	mutation	MDS	cgc
CBL	mutation	MML	cgc
CBLB	mutation	AML	cgc
CBLC	mutation	AML	cgc
CCAR1	mutation	BLCA	in_silico_predicted
CCAR1	mutation	BRCA	in_silico_predicted
CCAR1	mutation	CM	in_silico_predicted
CCAR1	mutation	HNSC	in_silico_predicted
CCAR1	mutation	LUAD	in_silico_predicted
CCAR1	mutation	LUSC	in_silico_predicted
CCAR1	mutation	MB	in_silico_predicted
CCAR1	mutation	OV	in_silico_predicted
CCAR1	mutation	RCCC	in_silico_predicted
CCAR1	mutation	STAD	in_silico_predicted
CCND1	mutation	UCEC	in_silico_predicted
CCT5	mutation	BLCA	in_silico_predicted
CCT5	mutation	BRCA	in_silico_predicted
CCT5	mutation	CM	in_silico_predicted
CCT5	mutation	HNSC	in_silico_predicted
CCT5	mutation	LUAD	in_silico_predicted
CCT5	mutation	OV	in_silico_predicted
CCT5	mutation	SCLC	in_silico_predicted
CCT5	mutation	STAD	in_silico_predicted
CD36	mutation	CLL	in_silico_predicted
CD79A	mutation	DLBCL	cgc
CD79A	mutation	NHLY	cgc
CD79B	mutation	DLBCL	"cgc,biomarker"
CD79B	mutation	NHLY	cgc
CDC27	mutation	PRAD	in_silico_predicted
CDC73	mutation	CM	in_silico_predicted
CDC73	mutation	COREAD	in_silico_predicted
CDC73	mutation	HNC	cgc
CDC73	mutation	LUSC	in_silico_predicted
CDC73	mutation	MM	in_silico_predicted
CDC73	mutation	PATH	"cgc,validated"
CDC73	mutation	RCCC	in_silico_predicted
CDC73	mutation	STAD	in_silico_predicted
CDH1	mutation	BLCA	in_silico_predicted
CDH1	mutation	BRCA	in_silico_predicted
CDH1	mutation	BRCAL	"cgc,validated"
CDH1	mutation	CANCER-PR	predisposing
CDH1	mutation	CM	in_silico_predicted
CDH1	mutation	ESCA	in_silico_predicted
CDH1	mutation	GIST-PR	predisposing
CDH1	mutation	HNSC	in_silico_predicted
CDH1	mutation	LUAD	in_silico_predicted
CDH1	mutation	LUSC	in_silico_predicted
CDH1	mutation	MM	in_silico_predicted
CDH1	mutation	PRAD	in_silico_predicted
CDH1	mutation	RCCC	in_silico_predicted
CDH1	mutation	ST	cgc
